Id,Antal arter,Antal observationer,Centre coordinate X (SWEREF99_TM),Centre coordinate Y (SWEREF99_TM),Centre coordinate X (GoogleMercator),Centre coordinate Y (GoogleMercator),Grid cell width (metres)
SRID3006SIZE10000E205000N7025000,0,0,205000,7025000,1015586.753,9157447.452,10000
SRID3006SIZE10000E205000N7035000,0,0,205000,7035000,1013554.466,9179548.089,10000
SRID3006SIZE10000E205000N7045000,0,0,205000,7045000,1011507.953,9201716.353,10000
SRID3006SIZE10000E205000N7055000,0,0,205000,7055000,1009447.069,9223952.71,10000
SRID3006SIZE10000E205000N7065000,0,0,205000,7065000,1007371.671,9246257.629,10000
SRID3006SIZE10000E205000N7075000,0,0,205000,7075000,1005281.612,9268631.586,10000
SRID3006SIZE10000E205000N7085000,0,0,205000,7085000,1003176.743,9291075.059,10000
SRID3006SIZE10000E205000N7095000,0,0,205000,7095000,1001056.916,9313588.533,10000
SRID3006SIZE10000E205000N7105000,0,0,205000,7105000,998921.976,9336172.497,10000
SRID3006SIZE10000E205000N7115000,0,0,205000,7115000,996771.7698,9358827.445,10000
SRID3006SIZE10000E205000N7125000,0,0,205000,7125000,994606.1406,9381553.875,10000
SRID3006SIZE10000E205000N7135000,0,0,205000,7135000,992424.9295,9404352.29,10000
SRID3006SIZE10000E205000N7145000,0,0,205000,7145000,990227.9756,9427223.2,10000
SRID3006SIZE10000E205000N7155000,0,0,205000,7155000,988015.1158,9450167.119,10000
SRID3006SIZE10000E205000N7165000,0,0,205000,7165000,985786.1846,9473184.564,10000
SRID3006SIZE10000E205000N7175000,0,0,205000,7175000,983541.0142,9496276.061,10000
SRID3006SIZE10000E205000N7185000,0,0,205000,7185000,981279.4346,9519442.139,10000
SRID3006SIZE10000E205000N7195000,0,0,205000,7195000,979001.2733,9542683.333,10000
SRID3006SIZE10000E205000N7205000,0,0,205000,7205000,976706.3553,9566000.182,10000
SRID3006SIZE10000E205000N7215000,0,0,205000,7215000,974394.5032,9589393.234,10000
SRID3006SIZE10000E205000N7225000,0,0,205000,7225000,972065.5373,9612863.04,10000
SRID3006SIZE10000E205000N7235000,0,0,205000,7235000,969719.2751,9636410.156,10000
SRID3006SIZE10000E205000N7245000,0,0,205000,7245000,967355.5314,9660035.146,10000
SRID3006SIZE10000E205000N7255000,0,0,205000,7255000,964974.1186,9683738.579,10000
SRID3006SIZE10000E205000N7265000,0,0,205000,7265000,962574.8463,9707521.028,10000
SRID3006SIZE10000E205000N7275000,0,0,205000,7275000,960157.5213,9731383.076,10000
SRID3006SIZE10000E205000N7285000,0,0,205000,7285000,957721.9477,9755325.309,10000
SRID3006SIZE10000E205000N7295000,0,0,205000,7295000,955267.9267,9779348.319,10000
SRID3006SIZE10000E205000N7305000,0,0,205000,7305000,952795.2566,9803452.706,10000
SRID3006SIZE10000E205000N7315000,0,0,205000,7315000,950303.7328,9827639.076,10000
